storage,coal_price,energy_price,action
0,10,10,"(False, False)"
0,10,20,"(False, False)"
0,10,30,"(False, False)"
0,10,40,"(False, False)"
0,10,50,"(False, False)"
0,10,60,"(False, False)"
0,10,70,"(False, False)"
0,10,80,"(False, False)"
0,10,90,"(False, False)"
0,10,100,"(False, False)"
0,10,110,"(False, False)"
0,10,120,"(False, False)"
0,10,130,"(False, False)"
0,10,140,"(False, False)"
0,10,150,"(False, False)"
0,10,160,"(False, False)"
0,10,170,"(False, False)"
0,10,180,"(False, False)"
0,10,190,"(False, False)"
0,10,200,"(False, False)"
0,10,210,"(False, False)"
0,10,220,"(False, False)"
0,10,230,"(False, False)"
0,10,240,"(False, False)"
0,10,250,"(False, False)"
0,10,260,"(False, False)"
0,10,270,"(False, False)"
0,10,280,"(False, False)"
0,10,290,"(False, False)"
0,10,300,"(False, False)"
0,20,10,"(False, False)"
0,20,20,"(False, False)"
0,20,30,"(False, False)"
0,20,40,"(False, False)"
0,20,50,"(False, False)"
0,20,60,"(False, False)"
0,20,70,"(False, False)"
0,20,80,"(False, False)"
0,20,90,"(False, False)"
0,20,100,"(False, False)"
0,20,110,"(False, False)"
0,20,120,"(False, False)"
0,20,130,"(False, False)"
0,20,140,"(False, False)"
0,20,150,"(False, False)"
0,20,160,"(False, False)"
0,20,170,"(False, False)"
0,20,180,"(False, False)"
0,20,190,"(False, False)"
0,20,200,"(False, False)"
0,20,210,"(False, False)"
0,20,220,"(False, False)"
0,20,230,"(False, False)"
0,20,240,"(False, False)"
0,20,250,"(False, False)"
0,20,260,"(False, False)"
0,20,270,"(False, False)"
0,20,280,"(False, False)"
0,20,290,"(False, False)"
0,20,300,"(False, False)"
0,30,10,"(False, False)"
0,30,20,"(False, False)"
0,30,30,"(False, False)"
0,30,40,"(False, False)"
0,30,50,"(False, False)"
0,30,60,"(False, False)"
0,30,70,"(False, False)"
0,30,80,"(False, False)"
0,30,90,"(False, False)"
0,30,100,"(False, False)"
0,30,110,"(False, False)"
0,30,120,"(False, False)"
0,30,130,"(False, False)"
0,30,140,"(False, False)"
0,30,150,"(False, False)"
0,30,160,"(False, False)"
0,30,170,"(False, False)"
0,30,180,"(False, False)"
0,30,190,"(False, False)"
0,30,200,"(False, False)"
0,30,210,"(False, False)"
0,30,220,"(False, False)"
0,30,230,"(False, False)"
0,30,240,"(False, False)"
0,30,250,"(False, False)"
0,30,260,"(False, False)"
0,30,270,"(False, False)"
0,30,280,"(False, False)"
0,30,290,"(False, False)"
0,30,300,"(False, False)"
0,40,10,"(False, False)"
0,40,20,"(False, False)"
0,40,30,"(False, False)"
0,40,40,"(False, False)"
0,40,50,"(False, False)"
0,40,60,"(False, False)"
0,40,70,"(False, False)"
0,40,80,"(False, False)"
0,40,90,"(False, False)"
0,40,100,"(False, False)"
0,40,110,"(False, False)"
0,40,120,"(False, False)"
0,40,130,"(False, False)"
0,40,140,"(False, False)"
0,40,150,"(False, False)"
0,40,160,"(False, False)"
0,40,170,"(False, False)"
0,40,180,"(False, False)"
0,40,190,"(False, False)"
0,40,200,"(False, False)"
0,40,210,"(False, False)"
0,40,220,"(False, False)"
0,40,230,"(False, False)"
0,40,240,"(False, False)"
0,40,250,"(False, False)"
0,40,260,"(False, False)"
0,40,270,"(False, False)"
0,40,280,"(False, False)"
0,40,290,"(False, False)"
0,40,300,"(False, False)"
0,50,10,"(False, False)"
0,50,20,"(False, False)"
0,50,30,"(False, False)"
0,50,40,"(False, False)"
0,50,50,"(False, False)"
0,50,60,"(False, False)"
0,50,70,"(False, False)"
0,50,80,"(False, False)"
0,50,90,"(False, False)"
0,50,100,"(False, False)"
0,50,110,"(False, False)"
0,50,120,"(False, False)"
0,50,130,"(False, False)"
0,50,140,"(False, False)"
0,50,150,"(False, False)"
0,50,160,"(False, False)"
0,50,170,"(False, False)"
0,50,180,"(False, False)"
0,50,190,"(False, False)"
0,50,200,"(False, False)"
0,50,210,"(False, False)"
0,50,220,"(False, False)"
0,50,230,"(False, False)"
0,50,240,"(False, False)"
0,50,250,"(False, False)"
0,50,260,"(False, False)"
0,50,270,"(False, False)"
0,50,280,"(False, False)"
0,50,290,"(False, False)"
0,50,300,"(False, False)"
0,60,10,"(False, False)"
0,60,20,"(False, False)"
0,60,30,"(False, False)"
0,60,40,"(False, False)"
0,60,50,"(False, False)"
0,60,60,"(False, False)"
0,60,70,"(False, False)"
0,60,80,"(False, False)"
0,60,90,"(False, False)"
0,60,100,"(False, False)"
0,60,110,"(False, False)"
0,60,120,"(False, False)"
0,60,130,"(False, False)"
0,60,140,"(False, False)"
0,60,150,"(False, False)"
0,60,160,"(False, False)"
0,60,170,"(False, False)"
0,60,180,"(False, False)"
0,60,190,"(False, False)"
0,60,200,"(False, False)"
0,60,210,"(False, False)"
0,60,220,"(False, False)"
0,60,230,"(False, False)"
0,60,240,"(False, False)"
0,60,250,"(False, False)"
0,60,260,"(False, False)"
0,60,270,"(False, False)"
0,60,280,"(False, False)"
0,60,290,"(False, False)"
0,60,300,"(False, False)"
0,70,10,"(False, False)"
0,70,20,"(False, False)"
0,70,30,"(False, False)"
0,70,40,"(False, False)"
0,70,50,"(False, False)"
0,70,60,"(False, False)"
0,70,70,"(False, False)"
0,70,80,"(False, False)"
0,70,90,"(False, False)"
0,70,100,"(False, False)"
0,70,110,"(False, False)"
0,70,120,"(False, False)"
0,70,130,"(False, False)"
0,70,140,"(False, False)"
0,70,150,"(False, False)"
0,70,160,"(False, False)"
0,70,170,"(False, False)"
0,70,180,"(False, False)"
0,70,190,"(False, False)"
0,70,200,"(False, False)"
0,70,210,"(False, False)"
0,70,220,"(False, False)"
0,70,230,"(False, False)"
0,70,240,"(False, False)"
0,70,250,"(False, False)"
0,70,260,"(False, False)"
0,70,270,"(False, False)"
0,70,280,"(False, False)"
0,70,290,"(False, False)"
0,70,300,"(False, False)"
0,80,10,"(False, False)"
0,80,20,"(False, False)"
0,80,30,"(False, False)"
0,80,40,"(False, False)"
0,80,50,"(False, False)"
0,80,60,"(False, False)"
0,80,70,"(False, False)"
0,80,80,"(False, False)"
0,80,90,"(False, False)"
0,80,100,"(False, False)"
0,80,110,"(False, False)"
0,80,120,"(False, False)"
0,80,130,"(False, False)"
0,80,140,"(False, False)"
0,80,150,"(False, False)"
0,80,160,"(False, False)"
0,80,170,"(False, False)"
0,80,180,"(False, False)"
0,80,190,"(False, False)"
0,80,200,"(False, False)"
0,80,210,"(False, False)"
0,80,220,"(False, False)"
0,80,230,"(False, False)"
0,80,240,"(False, False)"
0,80,250,"(False, False)"
0,80,260,"(False, False)"
0,80,270,"(False, False)"
0,80,280,"(False, False)"
0,80,290,"(False, False)"
0,80,300,"(False, False)"
0,90,10,"(False, False)"
0,90,20,"(False, False)"
0,90,30,"(False, False)"
0,90,40,"(False, False)"
0,90,50,"(False, False)"
0,90,60,"(False, False)"
0,90,70,"(False, False)"
0,90,80,"(False, False)"
0,90,90,"(False, False)"
0,90,100,"(False, False)"
0,90,110,"(False, False)"
0,90,120,"(False, False)"
0,90,130,"(False, False)"
0,90,140,"(False, False)"
0,90,150,"(False, False)"
0,90,160,"(False, False)"
0,90,170,"(False, False)"
0,90,180,"(False, False)"
0,90,190,"(False, False)"
0,90,200,"(False, False)"
0,90,210,"(False, False)"
0,90,220,"(False, False)"
0,90,230,"(False, False)"
0,90,240,"(False, False)"
0,90,250,"(False, False)"
0,90,260,"(False, False)"
0,90,270,"(False, False)"
0,90,280,"(False, False)"
0,90,290,"(False, False)"
0,90,300,"(False, False)"
0,100,10,"(False, False)"
0,100,20,"(False, False)"
0,100,30,"(False, False)"
0,100,40,"(False, False)"
0,100,50,"(False, False)"
0,100,60,"(False, False)"
0,100,70,"(False, False)"
0,100,80,"(False, False)"
0,100,90,"(False, False)"
0,100,100,"(False, False)"
0,100,110,"(False, False)"
0,100,120,"(False, False)"
0,100,130,"(False, False)"
0,100,140,"(False, False)"
0,100,150,"(False, False)"
0,100,160,"(False, False)"
0,100,170,"(False, False)"
0,100,180,"(False, False)"
0,100,190,"(False, False)"
0,100,200,"(False, False)"
0,100,210,"(False, False)"
0,100,220,"(False, False)"
0,100,230,"(False, False)"
0,100,240,"(False, False)"
0,100,250,"(False, False)"
0,100,260,"(False, False)"
0,100,270,"(False, False)"
0,100,280,"(False, False)"
0,100,290,"(False, False)"
0,100,300,"(False, False)"
0,110,10,"(False, False)"
0,110,20,"(False, False)"
0,110,30,"(False, False)"
0,110,40,"(False, False)"
0,110,50,"(False, False)"
0,110,60,"(False, False)"
0,110,70,"(False, False)"
0,110,80,"(False, False)"
0,110,90,"(False, False)"
0,110,100,"(False, False)"
0,110,110,"(False, False)"
0,110,120,"(False, False)"
0,110,130,"(False, False)"
0,110,140,"(False, False)"
0,110,150,"(False, False)"
0,110,160,"(False, False)"
0,110,170,"(False, False)"
0,110,180,"(False, False)"
0,110,190,"(False, False)"
0,110,200,"(False, False)"
0,110,210,"(False, False)"
0,110,220,"(False, False)"
0,110,230,"(False, False)"
0,110,240,"(False, False)"
0,110,250,"(False, False)"
0,110,260,"(False, False)"
0,110,270,"(False, False)"
0,110,280,"(False, False)"
0,110,290,"(False, False)"
0,110,300,"(False, False)"
0,120,10,"(False, False)"
0,120,20,"(False, False)"
0,120,30,"(False, False)"
0,120,40,"(False, False)"
0,120,50,"(False, False)"
0,120,60,"(False, False)"
0,120,70,"(False, False)"
0,120,80,"(False, False)"
0,120,90,"(False, False)"
0,120,100,"(False, False)"
0,120,110,"(False, False)"
0,120,120,"(False, False)"
0,120,130,"(False, False)"
0,120,140,"(False, False)"
0,120,150,"(False, False)"
0,120,160,"(False, False)"
0,120,170,"(False, False)"
0,120,180,"(False, False)"
0,120,190,"(False, False)"
0,120,200,"(False, False)"
0,120,210,"(False, False)"
0,120,220,"(False, False)"
0,120,230,"(False, False)"
0,120,240,"(False, False)"
0,120,250,"(False, False)"
0,120,260,"(False, False)"
0,120,270,"(False, False)"
0,120,280,"(False, False)"
0,120,290,"(False, False)"
0,120,300,"(False, False)"
0,130,10,"(False, False)"
0,130,20,"(False, False)"
0,130,30,"(False, False)"
0,130,40,"(False, False)"
0,130,50,"(False, False)"
0,130,60,"(False, False)"
0,130,70,"(False, False)"
0,130,80,"(False, False)"
0,130,90,"(False, False)"
0,130,100,"(False, False)"
0,130,110,"(False, False)"
0,130,120,"(False, False)"
0,130,130,"(False, False)"
0,130,140,"(False, False)"
0,130,150,"(False, False)"
0,130,160,"(False, False)"
0,130,170,"(False, False)"
0,130,180,"(False, False)"
0,130,190,"(False, False)"
0,130,200,"(False, False)"
0,130,210,"(False, False)"
0,130,220,"(False, False)"
0,130,230,"(False, False)"
0,130,240,"(False, False)"
0,130,250,"(False, False)"
0,130,260,"(False, False)"
0,130,270,"(False, False)"
0,130,280,"(False, False)"
0,130,290,"(False, False)"
0,130,300,"(False, False)"
0,140,10,"(False, False)"
0,140,20,"(False, False)"
0,140,30,"(False, False)"
0,140,40,"(False, False)"
0,140,50,"(False, False)"
0,140,60,"(False, False)"
0,140,70,"(False, False)"
0,140,80,"(False, False)"
0,140,90,"(False, False)"
0,140,100,"(False, False)"
0,140,110,"(False, False)"
0,140,120,"(False, False)"
0,140,130,"(False, False)"
0,140,140,"(False, False)"
0,140,150,"(False, False)"
0,140,160,"(False, False)"
0,140,170,"(False, False)"
0,140,180,"(False, False)"
0,140,190,"(False, False)"
0,140,200,"(False, False)"
0,140,210,"(False, False)"
0,140,220,"(False, False)"
0,140,230,"(False, False)"
0,140,240,"(False, False)"
0,140,250,"(False, False)"
0,140,260,"(False, False)"
0,140,270,"(False, False)"
0,140,280,"(False, False)"
0,140,290,"(False, False)"
0,140,300,"(False, False)"
0,150,10,"(False, False)"
0,150,20,"(False, False)"
0,150,30,"(False, False)"
0,150,40,"(False, False)"
0,150,50,"(False, False)"
0,150,60,"(False, False)"
0,150,70,"(False, False)"
0,150,80,"(False, False)"
0,150,90,"(False, False)"
0,150,100,"(False, False)"
0,150,110,"(False, False)"
0,150,120,"(False, False)"
0,150,130,"(False, False)"
0,150,140,"(False, False)"
0,150,150,"(False, False)"
0,150,160,"(False, False)"
0,150,170,"(False, False)"
0,150,180,"(False, False)"
0,150,190,"(False, False)"
0,150,200,"(False, False)"
0,150,210,"(False, False)"
0,150,220,"(False, False)"
0,150,230,"(False, False)"
0,150,240,"(False, False)"
0,150,250,"(False, False)"
0,150,260,"(False, False)"
0,150,270,"(False, False)"
0,150,280,"(False, False)"
0,150,290,"(False, False)"
0,150,300,"(False, False)"
0,160,10,"(False, False)"
0,160,20,"(False, False)"
0,160,30,"(False, False)"
0,160,40,"(False, False)"
0,160,50,"(False, False)"
0,160,60,"(False, False)"
0,160,70,"(False, False)"
0,160,80,"(False, False)"
0,160,90,"(False, False)"
0,160,100,"(False, False)"
0,160,110,"(False, False)"
0,160,120,"(False, False)"
0,160,130,"(False, False)"
0,160,140,"(False, False)"
0,160,150,"(False, False)"
0,160,160,"(False, False)"
0,160,170,"(False, False)"
0,160,180,"(False, False)"
0,160,190,"(False, False)"
0,160,200,"(False, False)"
0,160,210,"(False, False)"
0,160,220,"(False, False)"
0,160,230,"(False, False)"
0,160,240,"(False, False)"
0,160,250,"(False, False)"
0,160,260,"(False, False)"
0,160,270,"(False, False)"
0,160,280,"(False, False)"
0,160,290,"(False, False)"
0,160,300,"(False, False)"
0,170,10,"(False, False)"
0,170,20,"(False, False)"
0,170,30,"(False, False)"
0,170,40,"(False, False)"
0,170,50,"(False, False)"
0,170,60,"(False, False)"
0,170,70,"(False, False)"
0,170,80,"(False, False)"
0,170,90,"(False, False)"
0,170,100,"(False, False)"
0,170,110,"(False, False)"
0,170,120,"(False, False)"
0,170,130,"(False, False)"
0,170,140,"(False, False)"
